run,para_w_1,loss_loss,nstates_train,nstates_test,state_ind_for_test,train/loss,train/sloss,train/dloss,train/penalty,test/loss,test/sloss,test/dloss,test/penalty,rdmd_params/E0,rdmd_params/t,rdmd_params/U
10,0.30000000000000004,29.05653398025086,29,1,[10],1.0019494475948674,0.008217661972588945,3.3206569473801832,0.0,1.025557878452901,1.4429087966688096e-05,3.418492593637747,31.271096827507794,-0.4978953262578748,-0.025433707011078388,0.3276998332639626
11,0.30000000000000004,29.05650455870261,29,1,[11],1.001948433058718,0.00821765860757489,3.3206535734447185,0.0,1.0255872982675722,1.4400331538193755e-05,3.418590726784984,31.27110354778538,-0.49789532805160597,-0.02543372305289124,0.3276998083030693
12,0.30000000000000004,29.113082448315815,29,1,[12],1.003899394769517,0.0078117547483364785,3.3281038881522704,0.0,0.9549964092079563,0.008369384155794272,3.1637928009963336,31.598512116721736,-0.4978587899569529,-0.025824534656861638,0.3268727289937137
13,0.30000000000000004,29.1037264064961,29,1,[13],1.0035767726378109,0.007793699362763239,3.327070610279588,0.0,0.9499758600636241,0.007985791094569882,3.1479526876580834,31.663773736002103,-0.49760152042985134,-0.026525163181078514,0.32555167876880403
14,0.30000000000000004,29.103741516473587,29,1,[14],1.003577293671505,0.007793707923130701,3.3270723270843785,0.0,0.9499607415623871,0.0079856281985069,3.147902672744774,31.663772869214405,-0.4976015226298904,-0.026525148461852683,0.3255516785659741
15,0.30000000000000004,29.071094964170175,29,1,[15],1.002451550488637,0.007720773182652522,3.323490030869267,0.0,0.9801841168928354,0.016749466205366215,3.228198301830263,31.705236801212585,-0.49725287326734335,-0.02739813657881919,0.32410129035810165
16,0.30000000000000004,28.943691624318834,29,1,[16],0.998058331873075,0.007735094709980012,3.308812551920296,0.0,1.107574744804568,0.016315442412632202,3.653846450385751,31.70647120241991,-0.49725300360178254,-0.027397158573423765,0.3240879486126615
17,0.30000000000000004,29.039985480701596,29,1,[17],1.001378809679368,0.0078066161474376,3.319713927920539,0.0,1.0112172581882477,0.014147489417130465,3.337713385320854,31.712911175105813,-0.4972536637102399,-0.027392080049325505,0.32401824857874023
18,0.30000000000000004,28.921222300223626,29,1,[18],0.9972835275939291,0.007976793136443266,3.3056659079947286,0.0,1.1298290788028027,0.00898808398387675,3.745124733380296,31.73063749565692,-0.49725550536894125,-0.02737814424383432,0.3238270170341444
19,0.30000000000000004,28.64362058788329,29,1,[19],0.987711054754599,0.008053785526979476,3.2735780162857107,0.0,1.4073631677955818,0.006652837695451595,4.675687271362551,31.740376950071358,-0.49725651019643063,-0.027370484634670292,0.3237220708075713
20,0.30000000000000004,28.643699996130408,29,1,[20],0.987713792970022,0.008053803908052727,3.2735871007812833,0.0,1.4072828485250186,0.00665245268678501,4.67542043881423,31.74038158070983,-0.4972565111519447,-0.02737049204347583,0.3237220478144491
21,0.30000000000000004,28.16525068007873,29,1,[21],0.9712155406923884,0.008231203815798949,3.21817899340443,0.0,1.8957792370286277,0.01065438894605682,6.294403882554626,31.786106244888618,-0.4976567064336408,-0.026366612325527238,0.3251906253779444
22,0.30000000000000004,29.025011728385174,29,1,[22],1.0008624733925928,0.007224728751467074,3.319350544221886,0.0,1.0267058460183411,0.03165828200638169,3.3484834953795795,31.93400029052281,-0.49727626618894255,-0.027220473896223615,0.32166580776078035
23,0.30000000000000004,29.068558253442294,29,1,[23],1.002364077704915,0.007202632945309677,3.32440744881066,0.0,0.9831789314096172,0.03232644704570964,3.2018347282587345,31.93541089852082,-0.49727640646490184,-0.02721939271503308,0.32165100501469984
24,0.30000000000000004,28.76988691132854,29,1,[24],0.992065065907886,0.00705366125696355,3.2904250100933714,2.7800732275016088e-05,1.2819745642886835,0.004945571431255427,4.261708880956015,32.12818600691797,-0.49804358231732554,-0.02481981146353305,0.32347670630311254
25,0.30000000000000004,28.769877968675818,29,1,[25],0.992064757540556,0.007053631233006914,3.29042405225817,2.780261161488692e-05,1.281983581163033,0.004946712365129732,4.2617362750248065,32.12818957189061,-0.4980435839638656,-0.024819779452882666,0.3234766289805402
26,0.30000000000000004,28.59536617666692,29,1,[26],0.9860471095402596,0.007036113184785395,3.270406101036366,2.8991322611259746e-05,1.4565413471101727,0.0056479820671763185,4.841959198877164,32.12939661557486,-0.4980456953381316,-0.024796849937942747,0.3234423443909593
27,0.30000000000000004,28.59534870704321,29,1,[27],0.9860465071394343,0.0070360830308606424,3.2704041633927723,2.899305952482215e-05,1.4565588866888772,0.005649126117675336,4.8420149946883475,32.129399068529615,-0.4980456979366047,-0.02479681850151104,0.3234422871877311
28,0.30000000000000004,28.814360373790887,29,1,[28],0.9935986335790005,0.006732953245321429,3.2962852210242515,4.4258998323407885e-05,1.2382848033153582,0.016907846062887744,4.088164370237789,32.14350572219823,-0.4980695763667164,-0.024536169438297204,0.3230513324426261
29,0.30000000000000004,28.031130361965293,29,1,[29],0.9665907021367456,0.00637623441450785,3.2070911268219664,3.0183488043837943e-05,2.0178925722921757,0.011846377953145035,6.698667025749913,32.17292622625686,-0.49781725875062033,-0.025031624814983448,0.32160645312320807
