run,para_w_1,loss_loss,nstates_train,nstates_test,state_ind_for_test,train/loss,train/sloss,train/dloss,train/penalty,test/loss,test/sloss,test/dloss,test/penalty,rdmd_params/E0,rdmd_params/t,rdmd_params/U,rdmd_params/V
10,0.30000000000000004,24.15413946415407,29,1,[10],0.8336508747149243,0.0034548362907276084,2.770774964371383,0.009150845810793654,0.772829034709904,0.001156842428373361,2.5733974833668087,30.238124060049138,-0.5204517508469262,-0.0226688318040452,0.33466631689101306,0.02436185251903574
11,0.30000000000000004,24.17420784451212,29,1,[11],0.8345024025383568,0.0037824855412244545,2.7728488755316656,0.01385285210534543,0.7725867625065745,0.0005530467431313933,2.573998765954608,30.205611773821097,-0.5176978032976254,-0.022995867463572836,0.3301951195077598,0.022001874172749337
12,0.30000000000000004,24.29067701149221,29,1,[12],0.8396199645577197,0.003889677356169348,2.7896573013613364,0.009854658086067041,0.7253095284473865,0.004724981675675005,2.406673470914713,29.551960115291358,-0.5212106683724982,-0.0225210559015822,0.32645376067871673,0.02701127695856702
13,0.30000000000000004,24.294528044158213,29,1,[13],0.8395736788558948,0.0035357403314541067,2.7903288687462564,0.004744261452682535,0.7380434724975494,0.03741985999929613,2.37283190166014,30.679428910878343,-0.5160960657220259,-0.023095450088931095,0.3324608848903503,0.019766708672894866
14,0.30000000000000004,24.284920525955965,29,1,[14],0.8383564040936603,0.003980603099010342,2.785233273081176,0.006126089434540837,0.7299959909378531,0.025939780819440574,2.3727938145474816,31.72269189188937,-0.5196931230414682,-0.022225514983867586,0.3284619391280098,0.02277478725299085
15,0.30000000000000004,24.26066006438834,29,1,[15],0.8380167039467032,0.0034865543026091463,2.7852537197829226,0.00420871020860212,0.7684565685266305,0.052908924166829546,2.438067738699499,30.182134618137198,-0.520053020417335,-0.023879718409760716,0.3383677215566738,0.024168989208722146
16,0.30000000000000004,24.165555318674173,29,1,[16],0.8375160035476101,0.005644851842693538,2.7785486908590817,0.013111762094429744,0.8525376936675757,0.03403196649576764,2.762384390401794,31.433615407195305,-0.5185791596406327,-0.02116230658961295,0.33904971843408854,0.020369671313016594
17,0.30000000000000004,24.244928550392643,29,1,[17],0.8368177598216008,0.002683342693299017,2.783131399787638,0.004225467602817065,0.7869224767719026,0.04242845948528504,2.52407518377401,30.896702861759714,-0.5199234973715032,-0.025804813252223408,0.3366038590271212,0.023793564729975063
18,0.30000000000000004,24.142241071253235,29,1,[18],0.8346064652712383,0.005113737307932748,2.7700894971856176,0.013491486566687734,0.8678073049010472,0.026875456861241227,2.829981616993927,30.366915606758244,-0.5198610937686933,-0.02193728349770784,0.33098668292100264,0.024207301134474498
19,0.30000000000000004,23.939485549966765,29,1,[19],0.8286806377812522,0.00283173226903138,2.755661417309767,0.00449775668723332,1.0791845012516095,0.028853827031706997,3.529956074431381,30.821389895931343,-0.5208243460322416,-0.024540519572355715,0.33739846643161986,0.024480722688769864
