,r,beta,model_name,Spectrum RMSE (eV),Spectrum RMSE*<kt>/kT,dloss/z,trace,t_1,doccp,t_2,hophop,sisj,densityNN,densityNNN,density_hopNN,density_NN_hopNN,hopNN_hopNN_ijik,hopNN_hopNN_ijjk,ring_ijkl,ring_ijlk
61,4.8,0.6,"trace,t_1-doccp,densityNN,ring_ijlk",0.298982078,0.000667988,0.219514048,-14.9364587,-0.625393162,10.17445509,,,,1.61405414,,,,,,,0.30061278
62,4.8,0.8,"trace,t_1-doccp,densityNN,ring_ijlk",0.301258735,0.000512342,0.219906242,-14.8737074,-0.62331954,10.12763526,,,,1.550999524,,,,,,,0.309844959
63,3.2,0.1,"trace,t_1-doccp,density_NN_hopNN",0.298757176,0.011947772,0.392087958,-13.14573789,-1.310763755,9.122270544,,,,,,,-0.495332271,,,,
64,3.2,0.125,"trace,t_1-doccp,density_NN_hopNN",0.299085104,0.012600177,0.392195997,-13.14661798,-1.319226571,9.110533364,,,,,,,-0.489586227,,,,
65,3.2,0.15,"trace,t_1-doccp,density_NN_hopNN",0.299516098,0.012822956,0.39231495,-13.14757414,-1.328734981,9.097598202,,,,,,,-0.483195295,,,,
66,3.2,0.3,"trace,t_1-doccp,density_NN_hopNN",0.282681462,0.01053603,0.37677197,-13.15412918,-3.06821146,8.982020324,,,,,,,0.398238685,,,,
67,3.2,0.4,"trace,t_1-doccp,density_NN_hopNN",0.295722906,0.008554172,0.381358586,-13.15834806,-1.952216027,8.841055979,,,,,,,-0.150231487,,,,
68,3.2,0.6,"trace,t_1-doccp,density_NN_hopNN",0.309928228,0.006442584,0.381596982,-13.15887923,-2.241923293,8.753661434,,,,,,,1.68E-06,,,,
69,3.2,0.8,"trace,t_1-doccp,density_NN_hopNN",0.308962654,0.005221423,0.381319524,-13.15464006,-2.244580871,8.739038942,,,,,,,3.19E-07,,,,
70,3.2,1,"trace,t_1-doccp,density_NN_hopNN",0.663095431,0.004100722,0.400259259,-13.14831684,-2.24852088,8.716076571,,,,,,,2.92E-09,,,,
71,4.8,0.1,"trace,t_1-doccp,density_NN_hopNN",0.226048172,0.003380367,0.1536547,-13.33167226,-1.810056864,9.652802706,,,,,,,0.606684688,,,,
72,4.8,0.125,"trace,t_1-doccp,density_NN_hopNN",0.230479374,0.003606954,0.15345714,-13.33091559,-1.824357135,9.66833233,,,,,,,0.610980533,,,,
73,4.8,0.15,"trace,t_1-doccp,density_NN_hopNN",0.232996955,0.003692706,0.153279283,-13.3301538,-1.838444603,9.683699609,,,,,,,0.615189168,,,,
