,name,Parameters,cviteration,test_sloss,test_loss,Energy test rms error (eV),Test loss,train_sloss,train_loss,energy_loss,state,ai_energy,model_energy,t,U,E0,r,w0,state_cutoff
98,E0_t_U_V,"t,U,V",8,0.0008549635845966793,0.0002849878615322264,0.056092636297242676,0.0020613653210508343,6.4446537468991196e-06,0.0012127282393743764,0.0027076235437269343,8,-1.7752718942826402,-1.7709010085458854,-0.054062361250843884,0.33107125412726157,-0.563885516324255,3.6,1.0,10
99,E0_t_U_V,"t,U,V",9,0.0008549635845966793,0.0002849878615322264,0.056092636297242676,0.0020613653210508343,6.4446537468991196e-06,0.0012127282393743764,0.0027076235437269343,9,-1.7709010085456092,-1.7709010085458847,-0.054062361250843884,0.33107125412726157,-0.563885516324255,3.6,1.0,10
0,E0_t_U_V,"t,U,V",0,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,0,-2.038076904523702,-2.035362412283969,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
1,E0_t_U_V,"t,U,V",1,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,1,-2.025586508253849,-2.0180653580096335,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
2,E0_t_U_V,"t,U,V",2,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,2,-1.9969192322732583,-1.9857523277572233,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
3,E0_t_U_V,"t,U,V",3,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,3,-1.9919514412095256,-1.9800988918376936,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
4,E0_t_U_V,"t,U,V",4,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,4,-1.9919514061515653,-1.9800988918376923,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
5,E0_t_U_V,"t,U,V",5,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,5,-1.9635606245202613,-1.9469958983898317,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
6,E0_t_U_V,"t,U,V",6,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,6,-1.8520600388602932,-1.8345359860520354,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
7,E0_t_U_V,"t,U,V",7,0.005923296356734069,0.04414276692236344,0.3225235080005243,0.01185251431387302,0.00010439435682120118,0.22575668005754912,0.010373454889778668,7,-1.767487898014891,-1.7678317943917905,-0.051138273706751454,0.28000632204301057,-0.4838599146754767,3.8,0.6,10
