,name,Parameters,cviteration,test_sloss,test_loss,Energy test rms error (eV),Test loss,train_sloss,train_loss,energy_loss,state,ai_energy,model_energy,U,r,w0,state_cutoff
96,E0_U_ni_hop,"U,ni,hop",6.0,0.011409845644208974,0.0038032818814029913,0.4639271659632741,0.017049000270595194,0.0002525361318239212,0.05007210272244356,0.016452560130981498,6.0,-1.8300920655517043,-1.7877035730981037,0.35532541931235095,4.0,1.0,10
97,E0_U_ni_hop,"U,ni,hop",7.0,0.011409845644208974,0.0038032818814029913,0.4639271659632741,0.017049000270595194,0.0002525361318239212,0.05007210272244356,0.016452560130981498,7.0,-1.758870769834892,-1.769130983300722,0.35532541931235095,4.0,1.0,10
98,E0_U_ni_hop,"U,ni,hop",8.0,0.011409845644208974,0.0038032818814029913,0.4639271659632741,0.017049000270595194,0.0002525361318239212,0.05007210272244356,0.016452560130981498,8.0,-1.7588616040414948,-1.769130983300723,0.35532541931235095,4.0,1.0,10
99,E0_U_ni_hop,"U,ni,hop",9.0,0.011409845644208974,0.0038032818814029913,0.4639271659632741,0.017049000270595194,0.0002525361318239212,0.05007210272244356,0.016452560130981498,9.0,-1.7571129986213918,-1.7661343912118923,0.35532541931235095,4.0,1.0,10
0,E0_U_ni_hop,"U,ni,hop",0.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,0.0,-2.0182345001623463,-2.023043910838125,0.3385663153048503,4.4,0.6,10
1,E0_U_ni_hop,"U,ni,hop",1.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,1.0,-2.010029942357954,-2.010819055101809,0.3385663153048503,4.4,0.6,10
2,E0_U_ni_hop,"U,ni,hop",2.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,2.0,-1.997626300091796,-1.996122928475586,0.3385663153048503,4.4,0.6,10
3,E0_U_ni_hop,"U,ni,hop",3.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,3.0,-1.9967995012414463,-1.9939410406922973,0.3385663153048503,4.4,0.6,10
4,E0_U_ni_hop,"U,ni,hop",4.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,4.0,-1.996799471223409,-1.993941040692298,0.3385663153048503,4.4,0.6,10
5,E0_U_ni_hop,"U,ni,hop",5.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,5.0,-1.9849270219359925,-1.9767806036326239,0.3385663153048503,4.4,0.6,10
6,E0_U_ni_hop,"U,ni,hop",6.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,6.0,-1.7914499663214496,-1.759393377079157,0.3385663153048503,4.4,0.6,10
7,E0_U_ni_hop,"U,ni,hop",7.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,7.0,-1.7482663562865586,-1.7253549256099703,0.3385663153048503,4.4,0.6,10
8,E0_U_ni_hop,"U,ni,hop",8.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,8.0,-1.7416593832573295,-1.7406634626381492,0.3385663153048503,4.4,0.6,10
9,E0_U_ni_hop,"U,ni,hop",9.0,0.002265834525585651,0.4320436490252893,0.22167544702028424,0.008146418303368597,0.00015297288045705465,7.792745165538767,0.012896721240427454,9.0,-1.7416559096055568,-1.7406634626381494,0.3385663153048503,4.4,0.6,10
10,E0_U_ni_hop,"U,ni,hop",0.0,0.049411071629351676,0.6382473316932488,1.0351794319394867,0.038042123225541014,8.600573061969235e-05,7.485116767422889,0.015313459515206304,0.0,-2.0182345001623463,-2.023130104970302,0.34441966701764626,4.4,0.6,10
11,E0_U_ni_hop,"U,ni,hop",1.0,0.049411071629351676,0.6382473316932488,1.0351794319394867,0.038042123225541014,8.600573061969235e-05,7.485116767422889,0.015313459515206304,1.0,-2.010029942357954,-2.01123439974852,0.34441966701764626,4.4,0.6,10
12,E0_U_ni_hop,"U,ni,hop",2.0,0.049411071629351676,0.6382473316932488,1.0351794319394867,0.038042123225541014,8.600573061969235e-05,7.485116767422889,0.015313459515206304,2.0,-1.997626300091796,-1.9970444947107242,0.34441966701764626,4.4,0.6,10
13,E0_U_ni_hop,"U,ni,hop",3.0,0.049411071629351676,0.6382473316932488,1.0351794319394867,0.038042123225541014,8.600573061969235e-05,7.485116767422889,0.015313459515206304,3.0,-1.9967995012414463,-1.9950866812145032,0.34441966701764626,4.4,0.6,10
14,E0_U_ni_hop,"U,ni,hop",4.0,0.049411071629351676,0.6382473316932488,1.0351794319394867,0.038042123225541014,8.600573061969235e-05,7.485116767422889,0.015313459515206304,4.0,-1.996799471223409,-1.9950866812145027,0.34441966701764626,4.4,0.6,10
15,E0_U_ni_hop,"U,ni,hop",5.0,0.049411071629351676,0.6382473316932488,1.0351794319394867,0.038042123225541014,8.600573061969235e-05,7.485116767422889,0.015313459515206304,5.0,-1.9849270219359925,-1.9786979499975184,0.34441966701764626,4.4,0.6,10
